team,elo,source
Spain,2171,eloratings.net 2026-01-19
Argentina,2113,eloratings.net 2026-01-19
France,2063,eloratings.net 2026-01-19
England,2042,eloratings.net 2026-01-19
Colombia,1998,eloratings.net 2026-01-19
Brazil,1979,eloratings.net 2026-01-19
Portugal,1976,eloratings.net 2026-01-19
Netherlands,1959,eloratings.net 2026-01-19
Croatia,1933,eloratings.net 2026-01-19
Ecuador,1933,eloratings.net 2026-01-19
Norway,1922,eloratings.net 2026-01-19
Germany,1910,eloratings.net 2026-01-19
Switzerland,1897,eloratings.net 2026-01-19
Uruguay,1890,eloratings.net 2026-01-19
Turkey,1880,eloratings.net 2026-01-19
Japan,1879,eloratings.net 2026-01-19
Senegal,1869,eloratings.net 2026-01-19
Belgium,1849,eloratings.net 2026-01-19
Morocco,1840,estimate late-2025
Mexico,1835,estimate late-2025
Canada,1810,estimate late-2025
Austria,1800,estimate late-2025
United States,1790,estimate late-2025
Algeria,1775,estimate late-2025
Paraguay,1770,estimate late-2025
Iran,1760,estimate late-2025
Ivory Coast,1760,estimate late-2025
Sweden,1755,estimate late-2025
Egypt,1750,estimate late-2025
South Korea,1745,estimate late-2025
Australia,1730,estimate late-2025
Czechia,1720,estimate late-2025
Scotland,1710,estimate late-2025
Tunisia,1700,estimate late-2025
Panama,1700,estimate late-2025
Bosnia and Herzegovina,1690,estimate late-2025
South Africa,1680,estimate late-2025
Uzbekistan,1660,estimate late-2025
Ghana,1660,estimate late-2025
Saudi Arabia,1640,estimate late-2025
Jordan,1640,estimate late-2025
DR Congo,1640,estimate late-2025
Iraq,1610,estimate late-2025
New Zealand,1590,estimate late-2025
Cape Verde,1585,estimate late-2025
Curacao,1580,estimate late-2025
Haiti,1560,estimate late-2025
Qatar,1545,estimate late-2025
