,coef,mu,sd
elo_diff,0.4035614692807448,-7.771476699803272e-19,2.5111649906274742
fifa_rank_diff,0.0,-4.5615189324932245e-19,1.1009188108627959
form_pts_diff,-0.07391963257188179,-6.757805825915889e-20,0.7499752612607405
form_gf_diff,0.020206432971682526,-1.0559071602993576e-18,0.822280831173647
form_ga_diff,0.11289917170889677,-1.4782700244191006e-18,0.9307998718574549
rest_diff,-0.0034022117897730825,3.083248908074124e-19,1.3667183156408804
h2h_gd,0.05323583964912499,-6.082025243324299e-19,1.6443551319265128
wc_exp_diff,0.0,1.4191392234423366e-18,1.6128372239471043
host,0.07184257711021541,0.36589819675873086,0.4816857064151697
opp_host,-0.1305477439678402,0.36589819675873086,0.4816857064151698
neutral,0.0,0.2654264627558396,0.4415642245737834
comp_wc,0.0,0.016891120748687514,0.12886476113552806
comp_wc_qual,0.0,0.23970935098531537,0.42691011320006017
comp_cont_final,0.0,0.07776002434756143,0.2677961297065213
comp_cont_qual,-0.017473454296673057,0.14855816784600168,0.3556557952089943
comp_nations,0.0013435218680937484,0.03785284942554972,0.1908420917762025
comp_friendly,-0.01757944520144945,0.34349083162139543,0.47487805776158015
